Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Topological domain	Subcellular location [CC]	yourlist:M201905316746803381A1F0E0DB47453E0216320D1CCA86Y
Q99985	SEM3C_HUMAN	reviewed	Semaphorin-3C (Semaphorin-E) (Sema E)	SEMA3C SEMAE	Homo sapiens (Human)	751		SIGNAL 1 20 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted.	Q99985
G8JLL2	G8JLL2_HUMAN	unreviewed	Lysosomal thioesterase PPT2 (Fragment)	PPT2	Homo sapiens (Human)	180		SIGNAL 1 27 {ECO:0000256|SAM:SignalP}.			G8JLL2
Q9H6F5	CCD86_HUMAN	reviewed	Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain)	CCDC86 CYCLON	Homo sapiens (Human)	360				SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	Q9H6F5
Q96MM6	HS12B_HUMAN	reviewed	Heat shock 70 kDa protein 12B	HSPA12B C20orf60	Homo sapiens (Human)	686					Q96MM6
Q8IUW5	RELL1_HUMAN	reviewed	RELT-like protein 1	RELL1 PSEC0162	Homo sapiens (Human)	271	TRANSMEM 58 78 Helical. {ECO:0000255}.	SIGNAL 1 23 {ECO:0000255}.	TOPO_DOM 24 57 Extracellular. {ECO:0000255}.; TOPO_DOM 79 271 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16389068}; Single-pass type I membrane protein {ECO:0000269|PubMed:16389068}.	Q8IUW5
P17275	JUNB_HUMAN	reviewed	Transcription factor jun-B	JUNB	Homo sapiens (Human)	347				SUBCELLULAR LOCATION: Nucleus.	P17275
Q49AQ3	Q49AQ3_HUMAN	unreviewed	Ceramide synthase 5 (LASS5 protein)	CERS5 LASS5	Homo sapiens (Human)	195	TRANSMEM 46 64 Helical. {ECO:0000256|SAM:Phobius}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000256|PROSITE-ProRule:PRU00108, ECO:0000256|RuleBase:RU000682}.	Q49AQ3
Q99417	MYCBP_HUMAN	reviewed	c-Myc-binding protein (Associate of Myc 1) (AMY-1)	MYCBP AMY1	Homo sapiens (Human)	103				SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Mitochondrion. Note=Translocates into the nucleus in the S phase of the cell cycle upon an increase of MYC expression. Found in the mitochondria when associated with AKAP1.	Q99417
Q96QR8	PURB_HUMAN	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB	Homo sapiens (Human)	312				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1448097}.	Q96QR8
Q70UQ0	IKIP_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase-interacting protein (I kappa-B kinase-interacting protein) (IKBKB-interacting protein) (IKK-interacting protein)	IKBIP IKIP	Homo sapiens (Human)	350	TRANSMEM 46 62 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15389287}; Single-pass membrane protein {ECO:0000269|PubMed:15389287}. Note=Isoform 4 deletion of the hydrophobic, or transmembrane region between AA 45-63 results in uniform distribution throughout the cell, suggesting that this region is responsible for endoplasmic reticulum localization.	Q70UQ0-4,Q70UQ0
Q9H1A3	METL9_HUMAN	reviewed	Methyltransferase-like protein 9 (DORA reverse strand protein) (DREV) (DREV1)	METTL9 DREV CGI-81	Homo sapiens (Human)	318		SIGNAL 1 18 {ECO:0000255}.			Q9H1A3
O15226	NKRF_HUMAN	reviewed	NF-kappa-B-repressing factor (NFkB-repressing factor) (Protein ITBA4) (Transcription factor NRF)	NKRF ITBA4 NRF	Homo sapiens (Human)	690				SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.	O15226
P10109	ADX_HUMAN	reviewed	Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)	FDX1 ADX	Homo sapiens (Human)	184				SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:20547883}.	P10109
Q96K49	TM87B_HUMAN	reviewed	Transmembrane protein 87B	TMEM87B	Homo sapiens (Human)	555	TRANSMEM 215 235 Helical; Name=1. {ECO:0000255}.; TRANSMEM 248 268 Helical; Name=2. {ECO:0000255}.; TRANSMEM 300 320 Helical; Name=3. {ECO:0000255}.; TRANSMEM 323 343 Helical; Name=4. {ECO:0000255}.; TRANSMEM 351 371 Helical; Name=5. {ECO:0000255}.; TRANSMEM 397 417 Helical; Name=6. {ECO:0000255}.; TRANSMEM 430 450 Helical; Name=7. {ECO:0000255}.	SIGNAL 1 42 {ECO:0000255}.	TOPO_DOM 43 214 Lumenal. {ECO:0000305}.; TOPO_DOM 236 247 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 269 299 Lumenal. {ECO:0000305}.; TOPO_DOM 321 322 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 344 350 Lumenal. {ECO:0000305}.; TOPO_DOM 372 396 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 418 429 Lumenal. {ECO:0000305}.; TOPO_DOM 451 555 Cytoplasmic. {ECO:0000305}.	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305|PubMed:26157166}; Multi-pass membrane protein {ECO:0000255}.	Q96K49-2
P03891	NU2M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2	Homo sapiens (Human)	347	TRANSMEM 13 33 Helical. {ECO:0000255}.; TRANSMEM 56 76 Helical. {ECO:0000255}.; TRANSMEM 96 116 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 178 198 Helical. {ECO:0000255}.; TRANSMEM 201 221 Helical. {ECO:0000255}.; TRANSMEM 247 267 Helical. {ECO:0000255}.; TRANSMEM 274 294 Helical. {ECO:0000255}.; TRANSMEM 326 346 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.	P03891
Q8IU60	DCP2_HUMAN	reviewed	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Nucleoside diphosphate-linked moiety X motif 20) (Nudix motif 20) (mRNA-decapping enzyme 2) (hDpc)	DCP2 NUDT20	Homo sapiens (Human)	420				SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:15067023, ECO:0000269|PubMed:15273322, ECO:0000269|PubMed:16364915, ECO:0000269|PubMed:20616046}. Nucleus {ECO:0000269|PubMed:15273322}. Note=Predominantly cytoplasmic, in processing bodies (PB) (PubMed:15273322). A minor amount is nuclear (PubMed:15273322). {ECO:0000269|PubMed:15273322, ECO:0000269|PubMed:16364915, ECO:0000269|PubMed:20616046}.	Q8IU60-2
Q9HCG7	GBA2_HUMAN	reviewed	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.104) (Glucosylceramidase 2)	GBA2 KIAA1605 SPG46 AD035	Homo sapiens (Human)	927				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q69ZF3}; Peripheral membrane protein {ECO:0000269|PubMed:11489889}; Cytoplasmic side {ECO:0000250|UniProtKB:Q69ZF3}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q69ZF3}; Peripheral membrane protein {ECO:0000269|PubMed:11489889}; Cytoplasmic side {ECO:0000250|UniProtKB:Q69ZF3}. Note=Localization to the plasma membrane and alternative topologies have also been reported. {ECO:0000269|PubMed:11489889, ECO:0000269|PubMed:17105727}.	Q9HCG7
Q7LG56	RIR2B_HUMAN	reviewed	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)	RRM2B P53R2	Homo sapiens (Human)	351				SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Translocates from cytoplasm to nucleus in response to DNA damage.	Q7LG56
P17844	DDX5_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)	DDX5 G17P1 HELR HLR1	Homo sapiens (Human)	614				SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:10837141, ECO:0000269|PubMed:1996094}.	P17844
Q96T83	SL9A7_HUMAN	reviewed	Sodium/hydrogen exchanger 7 (Na(+)/H(+) exchanger 7) (NHE-7) (Solute carrier family 9 member 7)	SLC9A7 NHE7	Homo sapiens (Human)	725	TRANSMEM 71 91 Helical. {ECO:0000255}.; TRANSMEM 96 116 Helical. {ECO:0000255}.; TRANSMEM 176 196 Helical. {ECO:0000255}.; TRANSMEM 211 231 Helical. {ECO:0000255}.; TRANSMEM 252 272 Helical. {ECO:0000255}.; TRANSMEM 278 298 Helical. {ECO:0000255}.; TRANSMEM 323 343 Helical. {ECO:0000255}.; TRANSMEM 350 370 Helical. {ECO:0000255}.; TRANSMEM 372 392 Helical. {ECO:0000255}.; TRANSMEM 415 435 Helical. {ECO:0000255}.; TRANSMEM 443 463 Helical. {ECO:0000255}.; TRANSMEM 514 534 Helical. {ECO:0000255}.; TRANSMEM 612 632 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}. Recycling endosome membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}.	Q96T83
Q8WTS1	ABHD5_HUMAN	reviewed	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)	ABHD5 NCIE2 CGI-58	Homo sapiens (Human)	349				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18832586}. Lipid droplet {ECO:0000250}. Note=Colocalized with PLIN and ADRP on the surface of lipid droplets. The localization is dependent upon the metabolic status of the adipocytes and the activity of PKA (By similarity). {ECO:0000250}.	Q8WTS1
Q9NRP2	COXM2_HUMAN	reviewed	COX assembly mitochondrial protein 2 homolog	CMC2 C16orf61 DC13	Homo sapiens (Human)	79				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20220131}.	Q9NRP2
Q9NUL7	DDX28_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX28 (EC 3.6.4.13) (Mitochondrial DEAD box protein 28)	DDX28 MDDX28	Homo sapiens (Human)	540				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11350955, ECO:0000269|PubMed:25683708}. Mitochondrion {ECO:0000269|PubMed:11350955}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:25683715}. Mitochondrion matrix {ECO:0000269|PubMed:25683708}. Note=Transported between these two compartments. Nuclear localization depends on active RNA polymerase II transcription. Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids. {ECO:0000269|PubMed:25683708, ECO:0000269|PubMed:25683715}.	Q9NUL7
P60484	PTEN_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15987703, ECO:0000269|PubMed:18716620, ECO:0000269|PubMed:19473982, ECO:0000269|PubMed:25801959, ECO:0000269|PubMed:9187108}. Nucleus {ECO:0000269|PubMed:15987703, ECO:0000269|PubMed:18716620, ECO:0000269|PubMed:19473982, ECO:0000269|PubMed:25801959}. Nucleus, PML body {ECO:0000269|PubMed:18716620}. Note=Monoubiquitinated form is nuclear. Nonubiquitinated form is cytoplasmic. Colocalized with PML and USP7 in PML nuclear bodies (PubMed:18716620). XIAP/BIRC4 promotes its nuclear localization (PubMed:19473982). {ECO:0000269|PubMed:18716620, ECO:0000269|PubMed:19473982}.; SUBCELLULAR LOCATION: Isoform alpha: Secreted {ECO:0000269|PubMed:23744781, ECO:0000269|PubMed:24768297}. Note=May be secreted via a classical signal peptide and reenter into cells with the help of a poly-Arg motif.	P60484-2
Q9H013	ADA19_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 19 (ADAM 19) (EC 3.4.24.-) (Meltrin-beta) (Metalloprotease and disintegrin dendritic antigen marker) (MADDAM)	ADAM19 MLTNB FKSG34	Homo sapiens (Human)	955	TRANSMEM 700 720 Helical. {ECO:0000255}.	SIGNAL 1 25 {ECO:0000255}.	TOPO_DOM 203 699 Extracellular. {ECO:0000255}.; TOPO_DOM 721 955 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	Q9H013-2
Q9BRX8	PXL2A_HUMAN	reviewed	Peroxiredoxin-like 2A (Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes) (Protein PAMM) (Redox-regulatory protein FAM213A)	PRXL2A C10orf58 FAM213A PAMM PRO2290 PSEC0139 UNQ611/PRO1198	Homo sapiens (Human)	229				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19951071}. Secreted {ECO:0000269|PubMed:26438880}. Note=Secreted from mature adipocytes but not from preadipocytes. {ECO:0000269|PubMed:26438880}.	Q9BRX8-2
P60604	UB2G2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 G2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G2) (Ubiquitin carrier protein G2) (Ubiquitin-protein ligase G2)	UBE2G2	Homo sapiens (Human)	165					P60604-2
A5PLL7	TM189_HUMAN	reviewed	Transmembrane protein 189	TMEM189 KUA	Homo sapiens (Human)	270	TRANSMEM 47 67 Helical. {ECO:0000255}.; TRANSMEM 74 94 Helical. {ECO:0000255}.; TRANSMEM 161 181 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11076860}; Multi-pass membrane protein {ECO:0000269|PubMed:11076860}.	A5PLL7-2
P28289	TMOD1_HUMAN	reviewed	Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod)	TMOD1 D9S57E TMOD	Homo sapiens (Human)	359				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:25250574}. Note=In myofibrils with sarcomeric structure, localizes to the pointed end of actin thin filaments (PubMed:25250574). {ECO:0000269|PubMed:25250574}.	P28289-2
Q16763	UBE2S_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S)	UBE2S E2EPF OK/SW-cl.73	Homo sapiens (Human)	222					Q16763
Q9H977	WDR54_HUMAN	reviewed	WD repeat-containing protein 54	WDR54	Homo sapiens (Human)	334					Q9H977
Q9H939	PPIP2_HUMAN	reviewed	Proline-serine-threonine phosphatase-interacting protein 2 (PEST phosphatase-interacting protein 2)	PSTPIP2	Homo sapiens (Human)	334				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.	Q9H939
Q8NHP6	MSPD2_HUMAN	reviewed	Motile sperm domain-containing protein 2	MOSPD2	Homo sapiens (Human)	518	TRANSMEM 497 517 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28137892}; Single-pass membrane protein {ECO:0000305}.	Q8NHP6
O43768	ENSA_HUMAN	reviewed	Alpha-endosulfine (ARPP-19e)	ENSA	Homo sapiens (Human)	121				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	O43768-2
Q6ZS30	NBEL1_HUMAN	reviewed	Neurobeachin-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 16 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 17 protein)	NBEAL1 ALS2CR16 ALS2CR17	Homo sapiens (Human)	2694					Q6ZS30
Q92685	ALG3_HUMAN	reviewed	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)	ALG3 NOT NOT56L	Homo sapiens (Human)	438	TRANSMEM 41 61 Helical. {ECO:0000255}.; TRANSMEM 95 115 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 172 192 Helical. {ECO:0000255}.; TRANSMEM 203 223 Helical. {ECO:0000255}.; TRANSMEM 231 251 Helical. {ECO:0000255}.; TRANSMEM 289 309 Helical. {ECO:0000255}.; TRANSMEM 332 352 Helical. {ECO:0000255}.; TRANSMEM 356 376 Helical. {ECO:0000255}.; TRANSMEM 407 427 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Q92685-2
Q9UER7	DAXX_HUMAN	reviewed	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6	Homo sapiens (Human)	740				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11495919, ECO:0000269|PubMed:11842083, ECO:0000269|PubMed:12968034, ECO:0000269|PubMed:9407001}. Nucleus, nucleoplasm {ECO:0000269|PubMed:10669754, ECO:0000269|PubMed:16845383, ECO:0000269|PubMed:18566590, ECO:0000269|PubMed:23222847, ECO:0000269|PubMed:9407001}. Nucleus, PML body {ECO:0000269|PubMed:10669754, ECO:0000269|PubMed:11842083, ECO:0000269|PubMed:14990586, ECO:0000269|PubMed:17081986, ECO:0000269|PubMed:21482821, ECO:0000269|PubMed:23222847, ECO:0000269|PubMed:24200965, ECO:0000269|PubMed:25275136}. Nucleus, nucleolus {ECO:0000269|PubMed:23222847}. Chromosome, centromere {ECO:0000269|PubMed:24200965, ECO:0000269|PubMed:9645950}. Note=Dispersed throughout the nucleoplasm, in PML/POD/ND10 nuclear bodies, and in nucleoli (Probable). Colocalizes with histone H3.3, ATRX, HIRA and ASF1A at PML-nuclear bodies (PubMed:12953102, PubMed:14990586, PubMed:23222847, PubMed:24200965). Colocalizes with a subset of interphase centromeres, but is absent from mitotic centromeres (PubMed:9645950). Detected in cytoplasmic punctate structures (PubMed:11842083). Translocates from the nucleus to the cytoplasm upon glucose deprivation or oxidative stress (PubMed:12968034). Colocalizes with RASSF1 in the nucleus (PubMed:18566590). Colocalizes with USP7 in nucleoplasma with accumulation in speckled structures (PubMed:16845383). {ECO:0000269|PubMed:11842083, ECO:0000269|PubMed:12953102, ECO:0000269|PubMed:12968034, ECO:0000269|PubMed:14990586, ECO:0000269|PubMed:16845383, ECO:0000269|PubMed:18566590, ECO:0000269|PubMed:23222847, ECO:0000269|PubMed:24200965, ECO:0000269|PubMed:9645950, ECO:0000305|PubMed:10669754}.; SUBCELLULAR LOCATION: Isoform beta: Nucleus {ECO:0000269|PubMed:21482821}. Note=Diffuse nuclear distribution pattern and no comparable dot-like accumulation of isoform 1. {ECO:0000269|PubMed:21482821}.; SUBCELLULAR LOCATION: Isoform gamma: Nucleus {ECO:0000269|PubMed:21482821}. Note=Diffuse nuclear distribution pattern and no comparable dot-like accumulation of isoform 1. {ECO:0000269|PubMed:21482821}.	Q9UER7-3
Q96QE5	TEFM_HUMAN	reviewed	Transcription elongation factor, mitochondrial	TEFM C17orf42	Homo sapiens (Human)	360				SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:21278163}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:21278163}.	Q96QE5
Q9GZS1	RPA49_HUMAN	reviewed	DNA-directed RNA polymerase I subunit RPA49 (RNA polymerase I subunit A49) (DNA-directed RNA polymerase I subunit E) (RNA polymerase I-associated factor 1) (RNA polymerase I-associated factor 53)	POLR1E PAF53 PRAF1	Homo sapiens (Human)	419				SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.	Q9GZS1
P13498	CY24A_HUMAN	reviewed	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	CYBA	Homo sapiens (Human)	195				SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15585859, ECO:0000269|PubMed:22808130}. Note=As unassembled monomer may localize to the endoplasmic reticulum. {ECO:0000250|UniProtKB:Q61462}.	P13498
Q6S5L8	SHC4_HUMAN	reviewed	SHC-transforming protein 4 (Rai-like protein) (RaLP) (SHC-transforming protein D) (hShcD) (Src homology 2 domain-containing-transforming protein C4) (SH2 domain protein C4)	SHC4 SHCD UNQ6438/PRO21364	Homo sapiens (Human)	630				SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane. Note=Colocalized with MUSK at the neuromuscular junction. {ECO:0000250}.	Q6S5L8
Q96BH1	RNF25_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING-type E3 ubiquitin transferase RNF25)	RNF25	Homo sapiens (Human)	459					Q96BH1
Q9NRG0	CHRC1_HUMAN	reviewed	Chromatin accessibility complex protein 1 (CHRAC-1) (Chromatin accessibility complex 15 kDa protein) (CHRAC-15) (HuCHRAC15) (DNA polymerase epsilon subunit p15)	CHRAC1 CHRAC15	Homo sapiens (Human)	131				SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	Q9NRG0
P51965	UB2E1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 E1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1)	UBE2E1 UBCH6	Homo sapiens (Human)	193				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18845142}.	P51965-3
A0A2R8Y5C4	A0A2R8Y5C4_HUMAN	unreviewed	182 kDa tankyrase-1-binding protein (Fragment)	TNKS1BP1	Homo sapiens (Human)	283					A0A2R8Y5C4
Q9HD23	MRS2_HUMAN	reviewed	Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)	MRS2 HPT MRS2L	Homo sapiens (Human)	443	TRANSMEM 340 360 Helical. {ECO:0000255}.; TRANSMEM 373 393 Helical. {ECO:0000255}.		TOPO_DOM 50 339 Mitochondrial matrix. {ECO:0000255}.; TOPO_DOM 361 372 Mitochondrial intermembrane. {ECO:0000255}.; TOPO_DOM 394 443 Mitochondrial matrix. {ECO:0000255}.	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11401429, ECO:0000305|PubMed:18384665}; Multi-pass membrane protein {ECO:0000305}.	Q9HD23-2
O43432	IF4G3_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585					O43432
Q13823	NOG2_HUMAN	reviewed	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	GNL2 NGP1	Homo sapiens (Human)	731				SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:21495629}.	Q13823
P13667	PDIA4_HUMAN	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	PDIA4 ERP70 ERP72	Homo sapiens (Human)	645		SIGNAL 1 20 {ECO:0000255}.		SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:12643545}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). {ECO:0000269|PubMed:17081065}.	P13667
Q8N1G1	REXO1_HUMAN	reviewed	RNA exonuclease 1 homolog (EC 3.1.-.-) (Elongin-A-binding protein 1) (EloA-BP1) (Transcription elongation factor B polypeptide 3-binding protein 1)	REXO1 ELOABP1 KIAA1138 TCEB3BP1	Homo sapiens (Human)	1221				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12943681}.	Q8N1G1
Q96HD1	CREL1_HUMAN	reviewed	Cysteine-rich with EGF-like domain protein 1	CRELD1 CIRRIN UNQ188/PRO214	Homo sapiens (Human)	420	TRANSMEM 363 383 Helical. {ECO:0000255}.; TRANSMEM 385 405 Helical. {ECO:0000255}.	SIGNAL 1 29 {ECO:0000255}.	TOPO_DOM 30 362 Extracellular. {ECO:0000255}.; TOPO_DOM 384 384 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 406 420 Extracellular. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Q96HD1-2
Q9H1B5	XYLT2_HUMAN	reviewed	Xylosyltransferase 2 (EC 2.4.2.26) (Peptide O-xylosyltransferase 1) (Xylosyltransferase II) (XT-II) (XylT-II)	XYLT2 XT2 UNQ3058/PRO9878	Homo sapiens (Human)	865	TRANSMEM 16 36 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.		TOPO_DOM 1 15 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 37 865 Lumenal. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Secreted {ECO:0000269|PubMed:17189265, ECO:0000269|PubMed:25748573}.	Q9H1B5
Q9Y282	ERGI3_HUMAN	reviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Serologically defined breast cancer antigen NY-BR-84)	ERGIC3 C20orf47 ERV46 SDBCAG84 CGI-54 PRO0989	Homo sapiens (Human)	383	TRANSMEM 26 46 Helical. {ECO:0000255}.; TRANSMEM 342 362 Helical. {ECO:0000255}.		TOPO_DOM 1 25 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 47 341 Lumenal. {ECO:0000255}.; TOPO_DOM 363 383 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:15308636}; Multi-pass membrane protein {ECO:0000269|PubMed:15308636}. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:15308636}; Multi-pass membrane protein {ECO:0000269|PubMed:15308636}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15308636}; Multi-pass membrane protein {ECO:0000269|PubMed:15308636}. Note=Cycles between the endoplasmic reticulum and the Golgi.	Q9Y282
