Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Intramembrane	Subcellular location [CC]	Topological domain	Transit peptide	Propeptide	Glycosylation	Disulfide bond	Cross-link	Region	yourlist:M201905286746803381A1F0E0DB47453E0216320D186141C
P24557	THAS_HUMAN	reviewed	Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1)	TBXAS1 CYP5 CYP5A1	Homo sapiens (Human)	533	TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 76 96 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 336 356 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:8366093}; Multi-pass membrane protein {ECO:0000269|PubMed:8366093}.	TOPO_DOM 1 10 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 32 75 Lumenal. {ECO:0000255}.; TOPO_DOM 97 223 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 245 335 Lumenal. {ECO:0000255}.; TOPO_DOM 357 533 Cytoplasmic. {ECO:0000255}.							P24557
O94832	MYO1D_HUMAN	reviewed	Unconventional myosin-Id	MYO1D KIAA0727	Homo sapiens (Human)	1006				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q63357}. Perikaryon {ECO:0000250|UniProtKB:Q63357}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q63357}. Early endosome {ECO:0000250|UniProtKB:F1PRN2}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q63357}. Note=Colocalizes with the actin cytoskeleton in the cell cortex close to the apical cell membrane. Colocalizes with cytoplasmic puncta that are reminiscent of transport vesicles. {ECO:0000250|UniProtKB:Q63357}.							REGION 572 594 Actin-binding. {ECO:0000255|PROSITE-ProRule:PRU00782}.	O94832
Q17RY0	CPEB4_HUMAN	reviewed	Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4)	CPEB4 KIAA1673	Homo sapiens (Human)	729				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q7TN98}. Cell junction, synapse, postsynaptic cell membrane, postsynaptic density {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, axon {ECO:0000250|UniProtKB:Q7TN98}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q7TN98}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q7TN98}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q7TN98}.							REGION 1 375 Low complexity region. {ECO:0000305}.; REGION 541 543 RNA-binding. {ECO:0000244|PDB:5DIF}.	Q17RY0
P05120	PAI2_HUMAN	reviewed	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)	SERPINB2 PAI2 PLANH2	Homo sapiens (Human)	415		SIGNAL 1 ? Not cleaved.		SUBCELLULAR LOCATION: Cytoplasm. Secreted, extracellular space.				CARBOHYD 75 75 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 115 115 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 339 339 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 5 405			P05120
Q9H5V8	CDCP1_HUMAN	reviewed	CUB domain-containing protein 1 (Membrane glycoprotein gp140) (Subtractive immunization M plus HEp3-associated 135 kDa protein) (SIMA135) (Transmembrane and associated with src kinases) (CD antigen CD318)	CDCP1 TRASK UNQ2486/PRO5773	Homo sapiens (Human)	836	TRANSMEM 668 688 Helical. {ECO:0000255}.	SIGNAL 1 29 {ECO:0000269|PubMed:12660814, ECO:0000269|PubMed:16007225}.		SUBCELLULAR LOCATION: Isoform 1: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Shedding may also lead to a soluble peptide.; SUBCELLULAR LOCATION: Isoform 3: Secreted.	TOPO_DOM 30 667 Extracellular. {ECO:0000255}.; TOPO_DOM 689 836 Cytoplasmic. {ECO:0000255}.			CARBOHYD 39 39 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 122 122 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 180 180 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 205 205 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 270 270 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 310 310 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 386 386 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 476 499 {ECO:0000250}.			Q9H5V8
Q93083	MT1L_HUMAN	reviewed	Metallothionein-1L (MT-1L) (Metallothionein-IL) (MT-IL)	MT1L	Homo sapiens (Human)	61											REGION 1 29 Beta.; REGION 30 61 Alpha.	Q93083
P35869	AHR_HUMAN	reviewed	Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76)	AHR BHLHE76	Homo sapiens (Human)	848				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P30561}. Nucleus {ECO:0000250|UniProtKB:P30561}. Note=Initially cytoplasmic; upon binding with ligand and interaction with a HSP90, it translocates to the nucleus. {ECO:0000250|UniProtKB:P30561}.			PROPEP 1 10 {ECO:0000250|UniProtKB:P30561}. /FTId=PRO_0000013450.				REGION 38 66 DNA-binding. {ECO:0000269|PubMed:28602820}.; REGION 118 126 Required for maintaining the overall integrity of the AHR:ARNT heterodimer and its transcriptional activity. {ECO:0000250|UniProtKB:P30561}.; REGION 266 268 Required for maintaining the overall integrity of the AHR:ARNT heterodimer and its transcriptional activity. {ECO:0000250|UniProtKB:P30561}.	P35869
O94808	GFPT2_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2)	GFPT2	Homo sapiens (Human)	682											REGION 377 378 Substrate-binding. {ECO:0000250|UniProtKB:Q06210}.; REGION 422 424 Substrate-binding. {ECO:0000250|UniProtKB:Q06210}.	O94808
Q96GW9	SYMM_HUMAN	reviewed	Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase 2) (Mitochondrial methionyl-tRNA synthetase) (MtMetRS)	MARS2	Homo sapiens (Human)	593				SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305}.		TRANSIT 1 29 Mitochondrion. {ECO:0000255}.						Q96GW9
Q14410	GLPK2_HUMAN	reviewed	Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)	GK2 GKP2 GKTA	Homo sapiens (Human)	553				SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=In sperm the majority of the enzyme is bound to mitochondria. {ECO:0000250}.								Q14410
P48307	TFPI2_HUMAN	reviewed	Tissue factor pathway inhibitor 2 (TFPI-2) (Placental protein 5) (PP5)	TFPI2	Homo sapiens (Human)	235		SIGNAL 1 22 {ECO:0000269|PubMed:3276312, ECO:0000269|PubMed:7872799}.		SUBCELLULAR LOCATION: Secreted.				CARBOHYD 116 116 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 170 170 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 36 86 {ECO:0000255|PROSITE-ProRule:PRU00031, ECO:0000269|PubMed:15932872}.; DISULFID 45 69 {ECO:0000255|PROSITE-ProRule:PRU00031, ECO:0000269|PubMed:15932872}.; DISULFID 61 82 {ECO:0000255|PROSITE-ProRule:PRU00031, ECO:0000269|PubMed:15932872}.; DISULFID 96 149 {ECO:0000255|PROSITE-ProRule:PRU00031}.; DISULFID 106 130 {ECO:0000255|PROSITE-ProRule:PRU00031}.; DISULFID 122 145 {ECO:0000255|PROSITE-ProRule:PRU00031}.; DISULFID 158 208 {ECO:0000255|PROSITE-ProRule:PRU00031}.; DISULFID 167 191 {ECO:0000255|PROSITE-ProRule:PRU00031}.; DISULFID 183 204 {ECO:0000255|PROSITE-ProRule:PRU00031}.			P48307
P01583	IL1A_HUMAN	reviewed	Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)	IL1A IL1F1	Homo sapiens (Human)	271				SUBCELLULAR LOCATION: Secreted. Note=The lack of a specific hydrophobic segment in the precursor sequence suggests that IL-1 is released by damaged cells or is secreted by a mechanism differing from that used for other secretory proteins.			PROPEP 1 112 {ECO:0000269|PubMed:3281727}. /FTId=PRO_0000015265.	CARBOHYD 102 102 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 141 141 N-linked (GlcNAc...) asparagine. {ECO:0000255}.				P01583
P09086	PO2F2_HUMAN	reviewed	POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)	POU2F2 OCT2 OTF2	Homo sapiens (Human)	479				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus.							REGION 389 410 Leucine-zipper.	P09086
P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339		SIGNAL 1 17 {ECO:0000255}.		SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:16733801}. Melanosome {ECO:0000269|PubMed:17081065}. Secreted, extracellular space {ECO:0000250|UniProtKB:A1E295}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.			PROPEP 18 79 Activation peptide. {ECO:0000269|PubMed:3972105}. /FTId=PRO_0000026143.; PROPEP 334 339 /FTId=PRO_0000026147.	CARBOHYD 192 192 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:3463996}.	DISULFID 93 122 {ECO:0000269|PubMed:1868826}.; DISULFID 105 150 {ECO:0000269|PubMed:1868826}.; DISULFID 141 207 {ECO:0000269|PubMed:1868826}.; DISULFID 142 146 {ECO:0000269|PubMed:1868826}.; DISULFID 179 211 {ECO:0000269|PubMed:1868826}.; DISULFID 187 198 {ECO:0000269|PubMed:1868826}.			P07858
P78556	CCL20_HUMAN	reviewed	C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20) [Cleaved into: CCL20(1-67); CCL20(1-64); CCL20(2-70)]	CCL20 LARC MIP3A SCYA20	Homo sapiens (Human)	96		SIGNAL 1 26 {ECO:0000269|PubMed:9038201}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11035086}.					DISULFID 32 58; DISULFID 33 74			P78556
Q9NXK6	PAQR5_HUMAN	reviewed	Membrane progestin receptor gamma (mPR gamma) (Membrane progesterone P4 receptor gamma) (Membrane progesterone receptor gamma) (Progesterone and adipoQ receptor family member 5) (Progestin and adipoQ receptor family member 5) (Progestin and adipoQ receptor family member V)	PAQR5 MPRG	Homo sapiens (Human)	330	TRANSMEM 52 72 Helical; Name=1. {ECO:0000255}.; TRANSMEM 81 101 Helical; Name=2. {ECO:0000255}.; TRANSMEM 114 134 Helical; Name=3. {ECO:0000255}.; TRANSMEM 142 162 Helical; Name=4. {ECO:0000255}.; TRANSMEM 187 207 Helical; Name=5. {ECO:0000255}.; TRANSMEM 254 274 Helical; Name=6. {ECO:0000255}.; TRANSMEM 295 315 Helical; Name=7. {ECO:0000255}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:23763432}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 51 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 73 80 Extracellular. {ECO:0000255}.; TOPO_DOM 102 113 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 135 141 Extracellular. {ECO:0000255}.; TOPO_DOM 163 186 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 208 253 Extracellular. {ECO:0000255}.; TOPO_DOM 275 294 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 316 330 Extracellular. {ECO:0000255}.							Q9NXK6
O14523	C2C2L_HUMAN	reviewed	Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (C2CD2-like) (Transmembrane protein 24)	C2CD2L KIAA0285 TMEM24 DLNB23	Homo sapiens (Human)	706	TRANSMEM 10 30 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:28209843}; Single-pass membrane protein {ECO:0000269|PubMed:28209843}. Cell membrane {ECO:0000269|PubMed:28209843}; Peripheral membrane protein {ECO:0000269|PubMed:28209843}. Note=Localizes to sites of contact between the endoplasmic reticulum and the cell membrane (PubMed:28209843). Embedded into the endoplamic reticulum membrane via its N-terminal transmembrane domain and associates with cell membrane via its C-terminus (PubMed:28209843). In response to elevation of cytosolic Ca(2+), it is phosphorylated at its C-terminus and dissociates from the cell membrane and localizes to the reticular endoplamic reticulum (PubMed:28209843). Reassociates with cell membrane upon dephosphorylation (PubMed:28209843). {ECO:0000269|PubMed:28209843}.	TOPO_DOM 1 9 Lumenal. {ECO:0000305|PubMed:28209843}.; TOPO_DOM 31 706 Cytoplasmic. {ECO:0000305|PubMed:28209843}.						REGION 415 706 Association with the cell membrane. {ECO:0000269|PubMed:28209843}.	O14523
P07093	GDN_HUMAN	reviewed	Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2)	SERPINE2 PI7 PN1	Homo sapiens (Human)	398		SIGNAL 1 19 {ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:3997857}.		SUBCELLULAR LOCATION: Secreted, extracellular space.				CARBOHYD 118 118 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 159 159 N-linked (GlcNAc...) asparagine. {ECO:0000255}.				P07093
Q8TCU6	PREX1_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)	PREX1 KIAA1415	Homo sapiens (Human)	1659				SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cell membrane. Note=Mainly cytosolic. Some amount is apparently associated to the plasma membrane.								Q8TCU6
P15514	AREG_HUMAN	reviewed	Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF)	AREG AREGB SDGF	Homo sapiens (Human)	252	TRANSMEM 199 221 Helical. {ECO:0000255}.	SIGNAL 1 19 {ECO:0000255}.		SUBCELLULAR LOCATION: Membrane; Single-pass membrane protein.			PROPEP 20 100 /FTId=PRO_0000007473.; PROPEP 188 252 /FTId=PRO_0000007475.	CARBOHYD 30 30 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 113 113 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 119 119 N-linked (GlcNAc...) asparagine.	DISULFID 146 159 {ECO:0000255|PROSITE-ProRule:PRU00076, ECO:0000269|Ref.14}.; DISULFID 154 170 {ECO:0000255|PROSITE-ProRule:PRU00076, ECO:0000269|Ref.14}.; DISULFID 172 181 {ECO:0000255|PROSITE-ProRule:PRU00076, ECO:0000269|Ref.14}.			P15514
O75144	ICOSL_HUMAN	reviewed	ICOS ligand (B7 homolog 2) (B7-H2) (B7-like protein Gl50) (B7-related protein 1) (B7RP-1) (CD antigen CD275)	ICOSLG B7H2 B7RP1 ICOSL KIAA0653	Homo sapiens (Human)	302	TRANSMEM 257 277 Helical. {ECO:0000255}.	SIGNAL 1 18 {ECO:0000255}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11007762}; Single-pass type I membrane protein {ECO:0000255}.	TOPO_DOM 19 256 Extracellular. {ECO:0000255}.; TOPO_DOM 278 302 Cytoplasmic. {ECO:0000255}.			CARBOHYD 70 70 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 137 137 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 173 173 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 186 186 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 225 225 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 37 113 {ECO:0000255|PROSITE-ProRule:PRU00114}.; DISULFID 158 216 {ECO:0000255|PROSITE-ProRule:PRU00114}.			O75144
Q03169	TNAP2_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 2 (TNF alpha-induced protein 2) (Primary response gene B94 protein)	TNFAIP2	Homo sapiens (Human)	654												Q03169
P02795	MT2_HUMAN	reviewed	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)	MT2A CES1 MT2	Homo sapiens (Human)	61											REGION 1 29 Beta.; REGION 30 61 Alpha.	P02795
Q8IV20	LACC1_HUMAN	reviewed	Laccase domain-containing protein 1 (Fatty acid metabolism-immunity nexus)	LACC1 C13orf31 FAMIN	Homo sapiens (Human)	430				SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:27478939}.								Q8IV20
G8JLL2	G8JLL2_HUMAN	unreviewed	Lysosomal thioesterase PPT2 (Fragment)	PPT2	Homo sapiens (Human)	180		SIGNAL 1 27 {ECO:0000256|SAM:SignalP}.										G8JLL2
P05231	IL6_HUMAN	reviewed	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	IL6 IFNB2	Homo sapiens (Human)	212		SIGNAL 1 29 {ECO:0000269|PubMed:1883960, ECO:0000269|PubMed:2610854, ECO:0000269|PubMed:3279116}.		SUBCELLULAR LOCATION: Secreted.				CARBOHYD 73 73 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:1883960}.	DISULFID 72 78 {ECO:0000269|PubMed:2472117}.; DISULFID 101 111 {ECO:0000269|PubMed:2472117}.			P05231
O95150	TNF15_HUMAN	reviewed	Tumor necrosis factor ligand superfamily member 15 (TNF ligand-related molecule 1) (Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form]	TNFSF15 TL1 VEGI	Homo sapiens (Human)	251	TRANSMEM 36 56 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:11911831, ECO:0000305|PubMed:11923219}; Single-pass type II membrane protein {ECO:0000305|PubMed:11911831, ECO:0000305|PubMed:11923219}.; SUBCELLULAR LOCATION: Tumor necrosis factor ligand superfamily member 15, secreted form: Secreted.	TOPO_DOM 1 35 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 57 251 Extracellular. {ECO:0000255}.			CARBOHYD 133 133 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 229 229 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 162 202 {ECO:0000269|PubMed:17935696}.			O95150
Q8N4X5	AF1L2_HUMAN	reviewed	Actin filament-associated protein 1-like 2 (AFAP1-like protein 2)	AFAP1L2 KIAA1914 XB130	Homo sapiens (Human)	818				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17412687}.								Q8N4X5
P28562	DUS1_HUMAN	reviewed	Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)	DUSP1 CL100 MKP1 PTPN10 VH1	Homo sapiens (Human)	367				SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q91790}.								P28562
O14684	PTGES_HUMAN	reviewed	Prostaglandin E synthase (EC 5.3.99.3) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12	Homo sapiens (Human)	152	TRANSMEM 13 41 Helical.; TRANSMEM 61 90 Helical.; TRANSMEM 96 119 Helical.; TRANSMEM 124 152 Helical.			SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:18682561}; Multi-pass membrane protein {ECO:0000269|PubMed:18682561}.	TOPO_DOM 1 12 Lumenal.; TOPO_DOM 42 60 Cytoplasmic.; TOPO_DOM 91 95 Lumenal.; TOPO_DOM 120 123 Cytoplasmic.						REGION 28 38 Glutathione binding.; REGION 70 77 Glutathione binding.; REGION 110 113 Glutathione binding.	O14684
P10145	IL8_HUMAN	reviewed	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99		SIGNAL 1 20 {ECO:0000269|PubMed:2145175, ECO:0000269|PubMed:2523801, ECO:0000269|PubMed:2648135}.		SUBCELLULAR LOCATION: Secreted.					DISULFID 34 61; DISULFID 36 77			P10145
P08476	INHBA_HUMAN	reviewed	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF)	INHBA	Homo sapiens (Human)	426		SIGNAL 1 20 {ECO:0000250}.		SUBCELLULAR LOCATION: Secreted.			PROPEP 21 310 /FTId=PRO_0000033708.	CARBOHYD 165 165 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 314 322 {ECO:0000269|PubMed:18768470}.; DISULFID 321 391 {ECO:0000269|PubMed:18768470}.; DISULFID 350 423 {ECO:0000269|PubMed:18768470}.; DISULFID 354 425 {ECO:0000269|PubMed:18768470}.; DISULFID 390 390 Interchain. {ECO:0000269|PubMed:18768470}.			P08476
P98066	TSG6_HUMAN	reviewed	Tumor necrosis factor-inducible gene 6 protein (Hyaluronate-binding protein) (TNF-stimulated gene 6 protein) (TSG-6) (Tumor necrosis factor alpha-induced protein 6) (TNF alpha-induced protein 6)	TNFAIP6 TSG6	Homo sapiens (Human)	277		SIGNAL 1 17 {ECO:0000269|PubMed:7516184}.						CARBOHYD 118 118 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 258 258 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 58 127; DISULFID 82 103; DISULFID 135 161 {ECO:0000250}.; DISULFID 188 210 {ECO:0000250}.			P98066
Q9NPH3	IL1AP_HUMAN	reviewed	Interleukin-1 receptor accessory protein (IL-1 receptor accessory protein) (IL-1RAcP) (Interleukin-1 receptor 3) (IL-1R-3) (IL-1R3)	IL1RAP C3orf13 IL1R3	Homo sapiens (Human)	570	TRANSMEM 368 388 Helical. {ECO:0000255}.	SIGNAL 1 20 {ECO:0000255}.		SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 2: Secreted.; SUBCELLULAR LOCATION: Isoform 3: Secreted.	TOPO_DOM 21 367 Extracellular. {ECO:0000255}.; TOPO_DOM 389 570 Cytoplasmic. {ECO:0000255}.			CARBOHYD 57 57 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 107 107 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20802483}.; CARBOHYD 111 111 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20802483}.; CARBOHYD 118 118 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20802483}.; CARBOHYD 196 196 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 209 209 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20802483}.; CARBOHYD 299 299 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 24 122 {ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:20802483}.; DISULFID 47 114 {ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:20802483}.; DISULFID 137 181 {ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:20802483}.; DISULFID 160 212 {ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:20802483}.; DISULFID 266 332 {ECO:0000255|PROSITE-ProRule:PRU00114, ECO:0000269|PubMed:20802483}.		REGION 69 85 Essential for interaction with PTPRD. {ECO:0000250|UniProtKB:Q61730}.	Q9NPH3
Q16769	QPCT_HUMAN	reviewed	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (sQC) (Glutaminyl-tRNA cyclotransferase) (Glutamyl cyclase) (EC)	QPCT	Homo sapiens (Human)	361		SIGNAL 1 28 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:18486145}.				CARBOHYD 49 49 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:21671571}.; CARBOHYD 296 296 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 139 164 {ECO:0000269|PubMed:21671571}.			Q16769
