ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
PREX1_HUMAN	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1(PREX1)	Homo sapiens				GO:0006801~superoxide metabolic process,GO:0007186~G-protein coupled receptor signaling pathway,GO:0030041~actin filament polymerization,GO:0030217~T cell differentiation,GO:0030593~neutrophil chemotaxis,GO:0030833~regulation of actin filament polymerization,GO:0035023~regulation of Rho protein signal transduction,GO:0035556~intracellular signal transduction,GO:0042119~neutrophil activation,GO:0043547~positive regulation of GTPase activity,GO:0050773~regulation of dendrite development,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030426~growth cone,GO:0043198~dendritic shaft,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0005089~Rho guanyl-nucleotide exchange factor activity,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0019899~enzyme binding,	IPR000219:Dbl homology (DH) domain,IPR000591:DEP domain,IPR001331:Guanine-nucleotide dissociation stimulator, CDC24, conserved site,IPR001478:PDZ domain,IPR001849:Pleckstrin homology domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR011993:Pleckstrin homology-like domain,	hsa04062:Chemokine signaling pathway,			SM00049:DEP,SM00228:PDZ,SM00233:PH,SM00325:RhoGEF,	3D-structure,Alternative splicing,Cell membrane,Complete proteome,Cytoplasm,Direct protein sequencing,Guanine-nucleotide releasing factor,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Phosphatidylinositol 3,4,5-trisphosphate- dependent Rac exchanger 1 protein,domain:DEP 1,domain:DEP 2,domain:DH,domain:PDZ,domain:PH,modified residue,sequence conflict,sequence variant,splice variant,
UROK_HUMAN	plasminogen activator, urokinase(PLAU)	Homo sapiens		h_fibrinolysisPathway:Fibrinolysis Pathway,h_plateletAppPathway:Platelet Amyloid Precursor Protein Pathway,		GO:0001666~response to hypoxia,GO:0006508~proteolysis,GO:0006935~chemotaxis,GO:0007165~signal transduction,GO:0007596~blood coagulation,GO:0010469~regulation of receptor activity,GO:0014909~smooth muscle cell migration,GO:0014910~regulation of smooth muscle cell migration,GO:0030335~positive regulation of cell migration,GO:0033628~regulation of cell adhesion mediated by integrin,GO:0042127~regulation of cell proliferation,GO:0042730~fibrinolysis,GO:0061041~regulation of wound healing,GO:2000097~regulation of smooth muscle cell-matrix adhesion,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0070062~extracellular exosome,	GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,GO:0016301~kinase activity,	IPR000001:Kringle,IPR000742:Epidermal growth factor-like domain,IPR001254:Peptidase S1,IPR001314:Peptidase S1A, chymotrypsin-type,IPR009003:Trypsin-like cysteine/serine peptidase domain,IPR013032:EGF-like, conserved site,IPR013806:Kringle-like fold,IPR018056:Kringle, conserved site,IPR018114:Peptidase S1, trypsin family, active site,	hsa04064:NF-kappa B signaling pathway,hsa04610:Complement and coagulation cascades,hsa05202:Transcriptional misregulation in cancer,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,	104300~Alzheimer disease, late-onset, susceptibility to,601709~Quebec platelet disorder,		SM00020:Tryp_SPc,SM00130:KR,	3D-structure,Alternative splicing,Blood coagulation,Complete proteome,Direct protein sequencing,Disulfide bond,EGF-like domain,Fibrinolysis,Glycoprotein,Hemostasis,Hydrolase,Kinase,Kringle,Pharmaceutical,Phosphoprotein,Plasminogen activation,Polymorphism,Protease,Proteomics identification,Reference proteome,Secreted,Serine protease,Signal,Transferase,Zymogen,	active site:Charge relay system,chain:Urokinase-type plasminogen activator,chain:Urokinase-type plasminogen activator chain B,chain:Urokinase-type plasminogen activator long chain A,chain:Urokinase-type plasminogen activator short chain A,disulfide bond,domain:EGF-like,domain:Kringle,domain:Peptidase S1,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (Fuc),helix,modified residue,mutagenesis site,region of interest:Binds urokinase plasminogen activator surface receptor,region of interest:Connecting peptide,sequence conflict,sequence variant,signal peptide,site:Cleavage; during zymogen activation,splice variant,strand,turn,
PHLA2_HUMAN	pleckstrin homology like domain family A member 2(PHLDA2)	Homo sapiens				GO:0001890~placenta development,GO:0006915~apoptotic process,GO:0009887~organ morphogenesis,GO:0010468~regulation of gene expression,GO:0030334~regulation of cell migration,GO:0045995~regulation of embryonic development,GO:0070873~regulation of glycogen metabolic process,	GO:0005737~cytoplasm,GO:0016020~membrane,		IPR001849:Pleckstrin homology domain,IPR011993:Pleckstrin homology-like domain,				SM00233:PH,	Complete proteome,Cytoplasm,Membrane,Phosphoprotein,Reference proteome,	chain:Pleckstrin homology-like domain family A member 2,compositionally biased region:Poly-Ala,domain:PH,modified residue,sequence conflict,
PTGES_HUMAN	prostaglandin E synthase(PTGES)	Homo sapiens		h_eicosanoidPathway:Eicosanoid Metabolism,		GO:0001516~prostaglandin biosynthetic process,GO:0002526~acute inflammatory response,GO:0002544~chronic inflammatory response,GO:0006693~prostaglandin metabolic process,GO:0007165~signal transduction,GO:0008285~negative regulation of cell proliferation,GO:0014070~response to organic cyclic compound,GO:0019371~cyclooxygenase pathway,GO:0032496~response to lipopolysaccharide,GO:0032526~response to retinoic acid,GO:0034097~response to cytokine,GO:0051592~response to calcium ion,	GO:0005641~nuclear envelope lumen,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0043295~glutathione binding,GO:0050220~prostaglandin-E synthase activity,	IPR001129:Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein,IPR023352:Membrane associated eicosanoid/glutathione metabolism-like domain,	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,				3D-structure,Complete proteome,Fatty acid biosynthesis,Fatty acid metabolism,Isomerase,Lipid biosynthesis,Lipid metabolism,Membrane,Prostaglandin biosynthesis,Prostaglandin metabolism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Prostaglandin E synthase,sequence conflict,transmembrane region,
PGH2_HUMAN	prostaglandin-endoperoxide synthase 2(PTGS2)	Homo sapiens		h_acetaminophenPathway:Mechanism of Acetaminophen Activity and Toxicity,h_eicosanoidPathway:Eicosanoid Metabolism,		GO:0001516~prostaglandin biosynthetic process,GO:0001525~angiogenesis,GO:0006693~prostaglandin metabolic process,GO:0006769~nicotinamide metabolic process,GO:0006928~movement of cell or subcellular component,GO:0006954~inflammatory response,GO:0006979~response to oxidative stress,GO:0007566~embryo implantation,GO:0007612~learning,GO:0007613~memory,GO:0008217~regulation of blood pressure,GO:0008285~negative regulation of cell proliferation,GO:0009750~response to fructose,GO:0010042~response to manganese ion,GO:0010226~response to lithium ion,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0019233~sensory perception of pain,GO:0019371~cyclooxygenase pathway,GO:0019372~lipoxygenase pathway,GO:0030282~bone mineralization,GO:0030728~ovulation,GO:0031394~positive regulation of prostaglandin biosynthetic process,GO:0031622~positive regulation of fever generation,GO:0031915~positive regulation of synaptic plasticity,GO:0032227~negative regulation of synaptic transmission, dopaminergic,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0033280~response to vitamin D,GO:0034612~response to tumor necrosis factor,GO:0034644~cellular response to UV,GO:0035633~maintenance of blood-brain barrier,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0042493~response to drug,GO:0042633~hair cycle,GO:0043065~positive regulation of apoptotic process,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045786~negative regulation of cell cycle,GO:0045907~positive regulation of vasoconstriction,GO:0045986~negative regulation of smooth muscle contraction,GO:0045987~positive regulation of smooth muscle contraction,GO:0046697~decidualization,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050727~regulation of inflammatory response,GO:0050873~brown fat cell differentiation,GO:0051384~response to glucocorticoid,GO:0051926~negative regulation of calcium ion transport,GO:0051968~positive regulation of synaptic transmission, glutamatergic,GO:0055114~oxidation-reduction process,GO:0070542~response to fatty acid,GO:0071260~cellular response to mechanical stimulus,GO:0071318~cellular response to ATP,GO:0071456~cellular response to hypoxia,GO:0071498~cellular response to fluid shear stress,GO:0071636~positive regulation of transforming growth factor beta production,GO:0090050~positive regulation of cell migration involved in sprouting angiogenesis,GO:0090271~positive regulation of fibroblast growth factor production,GO:0090336~positive regulation of brown fat cell differentiation,GO:0090362~positive regulation of platelet-derived growth factor production,GO:0098869~cellular oxidant detoxification,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0005789~endoplasmic reticulum membrane,GO:0005901~caveola,GO:0031090~organelle membrane,GO:0043005~neuron projection,GO:0043234~protein complex,	GO:0004601~peroxidase activity,GO:0004666~prostaglandin-endoperoxide synthase activity,GO:0005515~protein binding,GO:0008289~lipid binding,GO:0019899~enzyme binding,GO:0020037~heme binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,GO:0050473~arachidonate 15-lipoxygenase activity,	IPR000742:Epidermal growth factor-like domain,IPR010255:Haem peroxidase,IPR019791:Haem peroxidase, animal, subgroup,	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,hsa04064:NF-kappa B signaling pathway,hsa04370:VEGF signaling pathway,hsa04668:TNF signaling pathway,hsa04723:Retrograde endocannabinoid signaling,hsa04726:Serotonergic synapse,hsa04913:Ovarian steroidogenesis,hsa04921:Oxytocin signaling pathway,hsa04923:Regulation of lipolysis in adipocytes,hsa05140:Leishmaniasis,hsa05200:Pathways in cancer,hsa05204:Chemical carcinogenesis,hsa05206:MicroRNAs in cancer,hsa05222:Small cell lung cancer,				3D-structure,Complete proteome,Dioxygenase,Disulfide bond,Endoplasmic reticulum,Fatty acid biosynthesis,Fatty acid metabolism,Glycoprotein,Heme,Iron,Lipid biosynthesis,Lipid metabolism,Membrane,Metal-binding,Microsome,Oxidoreductase,Peroxidase,Polymorphism,Prostaglandin biosynthesis,Prostaglandin metabolism,Reference proteome,S-nitrosylation,Signal,	active site:For cyclooxygenase activity,active site:Proton acceptor,chain:Prostaglandin G/H synthase 2,disulfide bond,domain:EGF-like,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Iron (heme axial ligand),modified residue,sequence conflict,sequence variant,signal peptide,site:Aspirin-acetylated serine,
RAC2_HUMAN	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)(RAC2)	Homo sapiens				GO:0006935~chemotaxis,GO:0007015~actin filament organization,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007264~small GTPase mediated signal transduction,GO:0008284~positive regulation of cell proliferation,GO:0010310~regulation of hydrogen peroxide metabolic process,GO:0010592~positive regulation of lamellipodium assembly,GO:0010810~regulation of cell-substrate adhesion,GO:0030031~cell projection assembly,GO:0030036~actin cytoskeleton organization,GO:0030168~platelet activation,GO:0042129~regulation of T cell proliferation,GO:0043304~regulation of mast cell degranulation,GO:0045453~bone resorption,GO:0045859~regulation of protein kinase activity,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0060263~regulation of respiratory burst,GO:0060753~regulation of mast cell chemotaxis,GO:0071593~lymphocyte aggregation,GO:0090023~positive regulation of neutrophil chemotaxis,GO:1902622~regulation of neutrophil migration,GO:1903955~positive regulation of protein targeting to mitochondrion,	GO:0005622~intracellular,GO:0005635~nuclear envelope,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005884~actin filament,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0016020~membrane,GO:0030027~lamellipodium,GO:0030670~phagocytic vesicle membrane,GO:0070062~extracellular exosome,	GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0019887~protein kinase regulator activity,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04310:Wnt signaling pathway,hsa04360:Axon guidance,hsa04370:VEGF signaling pathway,hsa04510:Focal adhesion,hsa04520:Adherens junction,hsa04650:Natural killer cell mediated cytotoxicity,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05212:Pancreatic cancer,hsa05231:Choline metabolism in cancer,hsa05416:Viral myocarditis,	608203~Neutrophil immunodeficiency syndrome,			3D-structure,Acetylation,ADP-ribosylation,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,Glycoprotein,GTP-binding,Lipoprotein,Methylation,Nucleotide-binding,Polymorphism,Prenylation,Proteomics identification,Reference proteome,Signal,	chain:Ras-related C3 botulinum toxin substrate 2,helix,lipid moiety-binding region:S-geranylgeranyl cysteine,modified residue,mutagenesis site,nucleotide phosphate-binding region:GTP,propeptide:Removed in mature form,sequence variant,short sequence motif:Effector region,strand,turn,
RGS5_HUMAN	regulator of G-protein signaling 5(RGS5)	Homo sapiens				GO:0008277~regulation of G-protein coupled receptor protein signaling pathway,GO:0009968~negative regulation of signal transduction,GO:0043547~positive regulation of GTPase activity,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,	GO:0005096~GTPase activator activity,	IPR016137:Regulator of G protein signalling superfamily,IPR024066:Regulator of G-protein signaling, domain 1,		145500~Blood pressure regulation QTL,		SM00315:RGS,	3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Membrane,Reference proteome,Signal transduction inhibitor,	chain:Regulator of G-protein signaling 5,domain:RGS,helix,
SEM7A_HUMAN	semaphorin 7A (John Milton Hagen blood group)(SEMA7A)	Homo sapiens				GO:0001649~osteoblast differentiation,GO:0001755~neural crest cell migration,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007229~integrin-mediated signaling pathway,GO:0021988~olfactory lobe development,GO:0030335~positive regulation of cell migration,GO:0045773~positive regulation of axon extension,GO:0048675~axon extension,GO:0048843~negative regulation of axon extension involved in axon guidance,GO:0050727~regulation of inflammatory response,GO:0050919~negative chemotaxis,GO:0060907~positive regulation of macrophage cytokine production,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071526~semaphorin-plexin signaling pathway,	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0016020~membrane,GO:0031225~anchored component of membrane,	GO:0005178~integrin binding,GO:0005515~protein binding,GO:0030215~semaphorin receptor binding,GO:0038191~neuropilin binding,GO:0045499~chemorepellent activity,	IPR001627:Semaphorin/CD100 antigen,IPR002165:Plexin,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,IPR015943:WD40/YVTN repeat-like-containing domain,IPR016201:Plexin-like fold,IPR027231:Semaphorin,	hsa04360:Axon guidance,	614745~Blood group, John-Milton-Hagen system,		SM00423:PSI,SM00630:Sema,	3D-structure,Alternative splicing,Cell membrane,Complete proteome,Developmental protein,Differentiation,Disulfide bond,Glycoprotein,GPI-anchor,Immunoglobulin domain,Inflammatory response,Lipoprotein,Membrane,Methylation,Neurogenesis,Polymorphism,Proteomics identification,Reference proteome,Signal,	chain:Semaphorin-7A,disulfide bond,domain:Ig-like C2-type,domain:Sema,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:GPI-anchor amidated alanine,propeptide:Removed in mature form,sequence variant,short sequence motif:Cell attachment site,signal peptide,
PAI2_HUMAN	serpin family B member 2(SERPINB2)	Homo sapiens		h_fibrinolysisPathway:Fibrinolysis Pathway,		GO:0010951~negative regulation of endopeptidase activity,GO:0042060~wound healing,GO:0042730~fibrinolysis,GO:0043066~negative regulation of apoptotic process,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005886~plasma membrane,	GO:0004867~serine-type endopeptidase inhibitor activity,	IPR000215:Serpin family,IPR015556:Protease inhibitor I4, serpin, plasminogen activator inhibitor-2,IPR023795:Protease inhibitor I4, serpin, conserved site,IPR023796:Serpin domain,	hsa05146:Amoebiasis,			SM00093:SERPIN,	3D-structure,Complete proteome,Cytoplasm,Direct protein sequencing,Disulfide bond,Glycoprotein,Plasminogen activation,Polymorphism,Protease inhibitor,Proteomics identification,Reference proteome,Secreted,Serine protease inhibitor,Signal,	chain:Plasminogen activator inhibitor 2,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,sequence conflict,sequence variant,signal peptide,site:Reactive bond,strand,turn,
GDN_HUMAN	serpin family E member 2(SERPINE2)	Homo sapiens				GO:0007596~blood coagulation,GO:0008285~negative regulation of cell proliferation,GO:0010757~negative regulation of plasminogen activation,GO:0010766~negative regulation of sodium ion transport,GO:0010951~negative regulation of endopeptidase activity,GO:0010955~negative regulation of protein processing,GO:0014067~negative regulation of phosphatidylinositol 3-kinase signaling,GO:0021683~cerebellar granular layer morphogenesis,GO:0030195~negative regulation of blood coagulation,GO:0030308~negative regulation of cell growth,GO:0030334~regulation of cell migration,GO:0032940~secretion by cell,GO:0033363~secretory granule organization,GO:0042177~negative regulation of protein catabolic process,GO:0042628~mating plug formation,GO:0045861~negative regulation of proteolysis,GO:0045879~negative regulation of smoothened signaling pathway,GO:0048505~regulation of timing of cell differentiation,GO:0048711~positive regulation of astrocyte differentiation,GO:0050974~detection of mechanical stimulus involved in sensory perception,GO:0051966~regulation of synaptic transmission, glutamatergic,GO:0060291~long-term synaptic potentiation,GO:0060384~innervation,GO:0061108~seminal vesicle epithelium development,GO:0090331~negative regulation of platelet aggregation,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005829~cytosol,GO:0031012~extracellular matrix,GO:0031091~platelet alpha granule,GO:0031232~extrinsic component of external side of plasma membrane,GO:0031594~neuromuscular junction,GO:1903561~extracellular vesicle,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005539~glycosaminoglycan binding,GO:0008201~heparin binding,	IPR000215:Serpin family,IPR023795:Protease inhibitor I4, serpin, conserved site,IPR023796:Serpin domain,				SM00093:SERPIN,	3D-structure,Alternative splicing,Complete proteome,Developmental protein,Differentiation,Direct protein sequencing,Glycoprotein,Heparin-binding,Neurogenesis,Polymorphism,Protease inhibitor,Proteomics identification,Reference proteome,Secreted,Serine protease inhibitor,Signal,	chain:Glia-derived nexin,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,site:Reactive bond,splice variant,
UT1_HUMAN	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)	Homo sapiens				GO:0006833~water transport,GO:0015840~urea transport,GO:0055085~transmembrane transport,GO:0071918~urea transmembrane transport,	GO:0005730~nucleolus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005372~water transmembrane transporter activity,GO:0015204~urea transmembrane transporter activity,GO:0015265~urea channel activity,	IPR004937:Urea transporter,		111000~Blood group, Kidd,	PIRSF016502:urea transporter,		Alternative splicing,Blood group antigen,Cell membrane,Complete proteome,Glycoprotein,Membrane,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Urea transporter 1,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,transmembrane region,
MOT7_HUMAN	solute carrier family 16 member 6(SLC16A6)	Homo sapiens				GO:0015718~monocarboxylic acid transport,GO:0035879~plasma membrane lactate transport,GO:0055085~transmembrane transport,	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0008028~monocarboxylic acid transmembrane transporter activity,GO:0015129~lactate transmembrane transporter activity,GO:0015293~symporter activity,	IPR011701:Major facilitator superfamily,IPR020846:Major facilitator superfamily domain,					Cell membrane,Complete proteome,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Symport,Transmembrane,Transmembrane helix,Transport,	chain:Monocarboxylate transporter 7,modified residue,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
S20A1_HUMAN	solute carrier family 20 member 1(SLC20A1)	Homo sapiens				GO:0006796~phosphate-containing compound metabolic process,GO:0006810~transport,GO:0006811~ion transport,GO:0006817~phosphate ion transport,GO:0007165~signal transduction,GO:0035435~phosphate ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0044341~sodium-dependent phosphate transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0004871~signal transducer activity,GO:0004872~receptor activity,GO:0005315~inorganic phosphate transmembrane transporter activity,GO:0005316~high-affinity inorganic phosphate:sodium symporter activity,GO:0005436~sodium:phosphate symporter activity,GO:0015319~sodium:inorganic phosphate symporter activity,GO:0015321~sodium-dependent phosphate transmembrane transporter activity,	IPR001204:Phosphate transporter,					Complete proteome,Membrane,Phosphate transport,Phosphoprotein,Proteomics identification,Receptor,Reference proteome,Symport,Transmembrane,Transmembrane helix,Transport,	chain:Sodium-dependent phosphate transporter 1,modified residue,mutagenesis site,region of interest:A,sequence conflict,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
S23A2_HUMAN	solute carrier family 23 member 2(SLC23A2)	Homo sapiens		h_vitCBPathway:Vitamin C in the Brain,		GO:0006139~nucleobase-containing compound metabolic process,GO:0006979~response to oxidative stress,GO:0015851~nucleobase transport,GO:0015882~L-ascorbic acid transport,GO:0015993~molecular hydrogen transport,GO:0019852~L-ascorbic acid metabolic process,GO:0035461~vitamin transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0070904~transepithelial L-ascorbic acid transport,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009925~basal plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,	GO:0008520~L-ascorbate:sodium symporter activity,GO:0008523~sodium-dependent multivitamin transmembrane transporter activity,GO:0015205~nucleobase transmembrane transporter activity,GO:0015229~L-ascorbic acid transporter activity,GO:0070890~sodium-dependent L-ascorbate transmembrane transporter activity,	IPR006042:Xanthine/uracil permease,IPR006043:Xanthine/uracil/vitamin C permease,					Alternative splicing,Cell membrane,Complete proteome,Glycoprotein,Ion transport,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,Sodium,Sodium transport,Symport,Transmembrane,Transmembrane helix,Transport,	chain:Solute carrier family 23 member 2,glycosylation site:N-linked (GlcNAc...),modified residue,sequence conflict,transmembrane region,
S6A15_HUMAN	solute carrier family 6 member 15(SLC6A15)	Homo sapiens				GO:0006814~sodium ion transport,GO:0006836~neurotransmitter transport,GO:0006865~amino acid transport,GO:0015804~neutral amino acid transport,GO:0015820~leucine transport,GO:0015824~proline transport,GO:0035524~proline transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0005298~proline:sodium symporter activity,GO:0005326~neurotransmitter transporter activity,GO:0005328~neurotransmitter:sodium symporter activity,GO:0015171~amino acid transmembrane transporter activity,	IPR000175:Sodium:neurotransmitter symporter,IPR002438:Sodium:neurotransmitter symporter, orphan,					Alternative splicing,Amino-acid transport,Complete proteome,Glycoprotein,Ion transport,Membrane,Neurotransmitter transport,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Sodium,Sodium transport,Symport,Transmembrane,Transmembrane helix,Transport,	chain:Orphan sodium- and chloride-dependent neurotransmitter transporter NTT73,glycosylation site:N-linked (GlcNAc...),modified residue,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
E9PHV5_HUMAN	sperm specific antigen 2(SSFA2)	Homo sapiens					GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,	GO:0005102~receptor binding,GO:0051015~actin filament binding,	IPR026648:Sperm-specific antigen 2,				SM01257:SM01257,	Actin-binding,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Isopeptide bond,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Ubl conjugation,	chain:Sperm-specific antigen 2,modified residue,sequence conflict,sequence variant,splice variant,
STC1_HUMAN	stanniocalcin 1(STC1)	Homo sapiens				GO:0001503~ossification,GO:0001886~endothelial cell morphogenesis,GO:0003421~growth plate cartilage axis specification,GO:0006874~cellular calcium ion homeostasis,GO:0007566~embryo implantation,GO:0010596~negative regulation of endothelial cell migration,GO:0030336~negative regulation of cell migration,GO:0033280~response to vitamin D,GO:0035988~chondrocyte proliferation,GO:0044070~regulation of anion transport,GO:0046697~decidualization,GO:0051926~negative regulation of calcium ion transport,GO:0060348~bone development,GO:0071320~cellular response to cAMP,GO:0071385~cellular response to glucocorticoid stimulus,GO:0071456~cellular response to hypoxia,GO:0086004~regulation of cardiac muscle cell contraction,GO:0090280~positive regulation of calcium ion import,GO:1903403~negative regulation of renal phosphate excretion,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016324~apical plasma membrane,	GO:0005179~hormone activity,	IPR004978:Stanniocalcin,					Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Hormone,Reference proteome,Secreted,Signal,	chain:Stanniocalcin-1,disulfide bond,glycosylation site:N-linked (GlcNAc...),signal peptide,
